"string","num","next_word","nchar"
NA,36,"for",NA
NA,36,"you",NA
NA,36,"pepper",NA
NA,36,"the",NA
NA,36,"of",NA
NA,36,"to",NA
NA,36,"there",NA
NA,35,"time",NA
NA,35,"i",NA
NA,35,"get",NA
NA,35,"what",NA
NA,35,"i",NA
NA,35,"year",NA
NA,35,"hall",NA
NA,35,"the",NA
NA,35,"what",NA
NA,35,"to",NA
NA,35,"to",NA
NA,34,"be",NA
NA,34,"this",NA
NA,34,"it",NA
NA,34,"and",NA
NA,34,"my",NA
NA,34,"i",NA
NA,34,"to",NA
NA,34,"a",NA
NA,34,"of",NA
NA,34,"jersey",NA
NA,34,"the",NA
NA,34,"the",NA
NA,34,"of",NA
NA,34,"the",NA
NA,34,"first",NA
NA,33,"a",NA
NA,33,"to",NA
NA,33,"do",NA
NA,33,"it",NA
NA,33,"and",NA
NA,33,"tattoo",NA
NA,33,"that",NA
NA,33,"time",NA
NA,33,"i",NA
NA,33,"morning",NA
NA,33,"to",NA
NA,33,"a",NA
NA,33,"few",NA
NA,33,"that",NA
NA,33,"tweets",NA
NA,33,"of",NA
NA,33,"years",NA
NA,33,"that",NA
NA,33,"a",NA
NA,33,"life",NA
NA,33,"thing",NA
NA,33,"to",NA
NA,33,"be",NA
NA,32,"do",NA
NA,32,"fame",NA
NA,32,"fact",NA
NA,32,"know",NA
NA,32,"to",NA
NA,32,"the",NA
NA,32,"hunter",NA
NA,32,"to",NA
NA,32,"who",NA
NA,32,"the",NA
NA,32,"that",NA
NA,32,"to",NA
NA,32,"matt",NA
NA,32,"be",NA
NA,32,"have",NA
NA,32,"things",NA
NA,32,"time",NA
NA,32,"release",NA
NA,32,"mention",NA
NA,32,"week",NA
NA,32,"to",NA
NA,31,"who",NA
NA,31,"it",NA
NA,31,"it",NA
NA,31,"the",NA
NA,31,"i",NA
NA,31,"but",NA
NA,31,"at",NA
NA,31,"with",NA
NA,31,"soon",NA
NA,31,"the",NA
NA,31,"to",NA
NA,31,"years",NA
NA,31,"as",NA
NA,31,"is",NA
NA,31,"world",NA
NA,31,"of",NA
NA,31,"stock",NA
NA,31,"of",NA
NA,31,"statement",NA
NA,31,"commission",NA
NA,31,"the",NA
NA,31,"most",NA
NA,31,"i",NA
NA,31,"of",NA
NA,31,"how",NA
NA,31,"mean",NA
NA,31,"to",NA
NA,30,"to",NA
NA,30,"most",NA
NA,30,"the",NA
NA,30,"part",NA
NA,30,"and",NA
NA,30,"you",NA
NA,30,"us",NA
NA,30,"the",NA
NA,30,"to",NA
NA,30,"you",NA
NA,30,"to",NA
NA,30,"to",NA
NA,30,"in",NA
NA,30,"of",NA
NA,30,"be",NA
NA,30,"to",NA
NA,30,"the",NA
NA,30,"is",NA
NA,30,"that",NA
NA,30,"love",NA
NA,30,"time",NA
NA,30,"words",NA
NA,30,"the",NA
NA,30,"illinois",NA
NA,30,"a",NA
NA,30,"best",NA
NA,30,"see",NA
NA,30,"see",NA
NA,29,"to",NA
NA,29,"woman",NA
NA,29,"love",NA
NA,29,"the",NA
NA,29,"the",NA
NA,29,"follow",NA
NA,29,"prevention",NA
NA,29,"of",NA
NA,29,"a",NA
NA,29,"to",NA
NA,29,"how",NA
NA,29,"a",NA
NA,29,"a",NA
NA,29,"of",NA
NA,29,"since",NA
NA,29,"start",NA
NA,29,"popular",NA
NA,29,"i",NA
NA,29,"do",NA
NA,29,"it",NA
NA,29,"the",NA
NA,29,"support",NA
NA,29,"back",NA
NA,29,"america",NA
NA,29,"do",NA
NA,29,"the",NA
NA,29,"the",NA
NA,29,"the",NA
NA,29,"prison",NA
NA,29,"think",NA
NA,29,"morning",NA
NA,29,"time",NA
NA,29,"same",NA
NA,29,"you",NA
NA,28,"are",NA
NA,28,"the",NA
NA,28,"can",NA
NA,28,"this",NA
NA,28,"saturated",NA
NA,28,"carbohydrate",NA
NA,28,"that",NA
NA,28,"great",NA
NA,28,"what",NA
NA,28,"i",NA
NA,28,"that",NA
NA,28,"be",NA
NA,28,"get",NA
NA,28,"see",NA
NA,28,"the",NA
NA,28,"a",NA
NA,28,"the",NA
NA,28,"with",NA
NA,28,"me",NA
NA,28,"i",NA
NA,28,"start",NA
NA,28,"taste",NA
NA,28,"season",NA
NA,28,"to",NA
NA,28,"time",NA
NA,28,"thing",NA
NA,28,"of",NA
NA,28,"the",NA
NA,28,"you",NA
NA,28,"to",NA
NA,28,"about",NA
NA,28,"be",NA
NA,27,"to",NA
NA,27,"the",NA
NA,27,"say",NA
NA,27,"do",NA
NA,27,"the",NA
NA,27,"about",NA
NA,27,"morning",NA
NA,27,"the",NA
NA,27,"who",NA
NA,27,"with",NA
NA,27,"to",NA
NA,27,"one",NA
NA,27,"see",NA
NA,27,"pp",NA
NA,27,"of",NA
NA,27,"time",NA
NA,27,"degrees",NA
NA,27,"of",NA
NA,27,"of",NA
NA,27,"of",NA
NA,27,"dragon",NA
NA,27,"weeks",NA
NA,27,"map",NA
NA,27,"the",NA
NA,27,"way",NA
NA,27,"have",NA
NA,27,"of",NA
NA,27,"the",NA
NA,27,"the",NA
NA,27,"the",NA
NA,27,"fun",NA
NA,27,"be",NA
NA,27,"seeing",NA
NA,26,"i",NA
NA,26,"a",NA
NA,26,"nike",NA
NA,26,"products",NA
NA,26,"can",NA
NA,26,"by",NA
NA,26,"item",NA
NA,26,"with",NA
NA,26,"with",NA
NA,26,"the",NA
NA,26,"at",NA
NA,26,"be",NA
NA,26,"go",NA
NA,26,"to",NA
NA,26,"the",NA
NA,26,"of",NA
NA,26,"area",NA
NA,26,"to",NA
NA,26,"see",NA
NA,26,"time",NA
NA,26,"with",NA
NA,26,"who",NA
NA,26,"work",NA
NA,26,"fat",NA
NA,26,"anonymity",NA
NA,26,"word",NA
NA,26,"year",NA
NA,26,"the",NA
NA,26,"country",NA
NA,26,"season",NA
NA,26,"gps",NA
NA,26,"followers",NA
NA,26,"be",NA
NA,26,"to",NA
NA,26,"do",NA
NA,25,"the",NA
NA,25,"saturated",NA
NA,25,"ever",NA
NA,25,"g",NA
NA,25,"my",NA
NA,25,"to",NA
NA,25,"a",NA
NA,25,"to",NA
NA,25,"fun",NA
NA,25,"why",NA
NA,25,"to",NA
NA,25,"know",NA
NA,25,"c",NA
NA,25,"to",NA
NA,25,"any",NA
NA,25,"the",NA
NA,25,"new",NA
NA,25,"the",NA
NA,25,"direction",NA
NA,25,"we",NA
NA,25,"union",NA
NA,25,"mind",NA
NA,25,"a",NA
NA,25,"of",NA
NA,25,"day",NA
NA,25,"the",NA
NA,25,"block",NA
NA,25,"a",NA
NA,24,"i",NA
NA,24,"the",NA
NA,24,"you",NA
NA,24,"of",NA
NA,24,"you",NA
NA,24,"to",NA
NA,24,"to",NA
NA,24,"can",NA
NA,24,"the",NA
NA,24,"as",NA
NA,24,"and",NA
NA,24,"me",NA
NA,24,"fiber",NA
NA,24,"that",NA
NA,24,"to",NA
NA,24,"to",NA
NA,24,"years",NA
NA,24,"to",NA
NA,24,"forward",NA
NA,24,"a",NA
NA,24,"be",NA
NA,24,"with",NA
NA,24,"have",NA
NA,24,"of",NA
NA,24,"mean",NA
NA,24,"able",NA
NA,24,"to",NA
NA,24,"say",NA
NA,24,"thank",NA
NA,24,"the",NA
NA,24,"weeks",NA
NA,24,"the",NA
NA,24,"be",NA
NA,24,"those",NA
NA,24,"good",NA
NA,24,"a",NA
NA,24,"next",NA
NA,24,"have",NA
NA,24,"need",NA
NA,24,"g",NA
NA,24,"a",NA
NA,24,"other",NA
NA,24,"over",NA
NA,24,"a",NA
NA,24,"years",NA
NA,24,"york",NA
NA,24,"of",NA
NA,24,"rain",NA
NA,24,"of",NA
NA,24,"follow",NA
NA,24,"your",NA
NA,24,"love",NA
NA,24,"first",NA
NA,24,"game",NA
NA,24,"you",NA
NA,24,"on",NA
NA,24,"the",NA
NA,24,"to",NA
NA,24,"to",NA
NA,24,"like",NA
